year,month,area,uf,className,numPol
2015/2016,8,8.82,AC,CORTE_SELETIVO,3
2015/2016,8,9.71,AC,CS_DESORDENADO,1
2015/2016,8,4.11,AC,DEGRADACAO,18
2015/2016,8,25.12,AC,DESMATAMENTO_CR,261
2015/2016,8,1.81,AC,DESMATAMENTO_VEG,16
2015/2016,8,418.38,AM,CORTE_SELETIVO,51
2015/2016,8,24.85,AM,DEGRADACAO,67
2015/2016,8,73.61,AM,DESMATAMENTO_CR,488
2015/2016,8,3.28,AM,DESMATAMENTO_VEG,32
2015/2016,8,1.96,AM,MINERACAO,15
2015/2016,8,0.08,MA,CORTE_SELETIVO,1
2015/2016,8,7.55,MA,DEGRADACAO,12
2015/2016,8,5.34,MA,DESMATAMENTO_CR,29
2015/2016,8,0.59,MA,DESMATAMENTO_VEG,6
2015/2016,8,0.41,MT,CICATRIZ_DE_QUEIMADA,1
2015/2016,8,1555.66,MT,CORTE_SELETIVO,288
2015/2016,8,2765.14,MT,DEGRADACAO,964
2015/2016,8,133.48,MT,DESMATAMENTO_CR,574
2015/2016,8,7.73,MT,DESMATAMENTO_VEG,15
2015/2016,8,0.2,MT,MINERACAO,2
2015/2016,8,646.19,PA,CORTE_SELETIVO,142
2015/2016,8,300.08,PA,DEGRADACAO,412
2015/2016,8,206.37,PA,DESMATAMENTO_CR,1079
2015/2016,8,23.31,PA,DESMATAMENTO_VEG,127
2015/2016,8,11.86,PA,MINERACAO,101
2015/2016,8,220.82,RO,CORTE_SELETIVO,72
2015/2016,8,65.9,RO,DEGRADACAO,170
2015/2016,8,82.91,RO,DESMATAMENTO_CR,582
2015/2016,8,1.2,RO,DESMATAMENTO_VEG,10
2015/2016,8,0.11,RO,MINERACAO,1
2015/2016,8,20.66,RR,CORTE_SELETIVO,5
2015/2016,8,35.57,RR,DEGRADACAO,64
2015/2016,8,7.09,RR,DESMATAMENTO_CR,52
2015/2016,8,3.04,RR,DESMATAMENTO_VEG,20
2015/2016,8,5.15,TO,DEGRADACAO,3
2015/2016,8,2.62,TO,DESMATAMENTO_CR,12
2015/2016,8,0.41,TO,DESMATAMENTO_VEG,1
2015/2016,9,7.18,AC,CORTE_SELETIVO,4
2015/2016,9,13.24,AC,DEGRADACAO,45
2015/2016,9,22.31,AC,DESMATAMENTO_CR,227
2015/2016,9,0.07,AC,DESMATAMENTO_VEG,1
2015/2016,9,38.81,AM,CORTE_SELETIVO,35
2015/2016,9,31.35,AM,DEGRADACAO,109
2015/2016,9,64.87,AM,DESMATAMENTO_CR,441
2015/2016,9,0.82,AM,DESMATAMENTO_VEG,6
2015/2016,9,0.11,AM,MINERACAO,1
2015/2016,9,0.33,MA,CORTE_SELETIVO,2
2015/2016,9,39.86,MA,DEGRADACAO,34
2015/2016,9,3.84,MA,DESMATAMENTO_CR,22
2015/2016,9,888.09,MT,CORTE_SELETIVO,335
2015/2016,9,1813.83,MT,DEGRADACAO,1779
2015/2016,9,134.72,MT,DESMATAMENTO_CR,662
2015/2016,9,0.15,MT,DESMATAMENTO_VEG,1
2015/2016,9,0.27,MT,MINERACAO,3
2015/2016,9,0.11,PA,CICATRIZ_DE_QUEIMADA,1
2015/2016,9,90.97,PA,CORTE_SELETIVO,25
2015/2016,9,540.9,PA,DEGRADACAO,1227
2015/2016,9,167.63,PA,DESMATAMENTO_CR,970
2015/2016,9,1.68,PA,DESMATAMENTO_VEG,12
2015/2016,9,2.82,PA,MINERACAO,32
2015/2016,9,37.52,RO,CORTE_SELETIVO,37
2015/2016,9,87.72,RO,DEGRADACAO,181
2015/2016,9,77.39,RO,DESMATAMENTO_CR,499
2015/2016,9,2.02,RO,DESMATAMENTO_VEG,8
2015/2016,9,4.79,RR,CORTE_SELETIVO,2
2015/2016,9,159.85,RR,DEGRADACAO,186
2015/2016,9,12.07,RR,DESMATAMENTO_CR,99
2015/2016,9,2.44,RR,DESMATAMENTO_VEG,20
2015/2016,9,9.36,TO,CORTE_SELETIVO,1
2015/2016,9,141.29,TO,DEGRADACAO,7
2015/2016,9,3.98,TO,DESMATAMENTO_CR,10
2015/2016,10,4.38,AC,CORTE_SELETIVO,4
2015/2016,10,2.9,AC,DEGRADACAO,29
2015/2016,10,21.22,AC,DESMATAMENTO_CR,192
2015/2016,10,0.94,AC,DESMATAMENTO_VEG,9
2015/2016,10,154.28,AM,CORTE_SELETIVO,58
2015/2016,10,92.72,AM,DEGRADACAO,160
2015/2016,10,58.9,AM,DESMATAMENTO_CR,298
2015/2016,10,1.15,AM,DESMATAMENTO_VEG,6
2015/2016,10,47.3,MA,DEGRADACAO,72
2015/2016,10,1.75,MA,DESMATAMENTO_CR,8
2015/2016,10,429.51,MT,CORTE_SELETIVO,243
2015/2016,10,993.33,MT,DEGRADACAO,1265
2015/2016,10,141.85,MT,DESMATAMENTO_CR,641
2015/2016,10,0.44,MT,DESMATAMENTO_VEG,5
2015/2016,10,0.16,PA,CICATRIZ_DE_QUEIMADA,2
2015/2016,10,160.61,PA,CORTE_SELETIVO,76
2015/2016,10,426.04,PA,DEGRADACAO,920
2015/2016,10,144.36,PA,DESMATAMENTO_CR,833
2015/2016,10,0.55,PA,DESMATAMENTO_VEG,5
2015/2016,10,0.29,PA,MINERACAO,4
2015/2016,10,85.52,RO,CORTE_SELETIVO,74
2015/2016,10,221.67,RO,DEGRADACAO,353
2015/2016,10,155.65,RO,DESMATAMENTO_CR,820
2015/2016,10,1.1,RO,DESMATAMENTO_VEG,9
2015/2016,10,12.92,RR,CORTE_SELETIVO,22
2015/2016,10,27.27,RR,DEGRADACAO,53
2015/2016,10,7.84,RR,DESMATAMENTO_CR,54
2015/2016,10,0.31,RR,DESMATAMENTO_VEG,2
2015/2016,11,3.85,AC,CORTE_SELETIVO,2
2015/2016,11,1.96,AC,DEGRADACAO,11
2015/2016,11,11.52,AC,DESMATAMENTO_CR,108
2015/2016,11,1.96,AC,DESMATAMENTO_VEG,20
2015/2016,11,13.98,AM,CORTE_SELETIVO,5
2015/2016,11,21.69,AM,DEGRADACAO,63
2015/2016,11,40.73,AM,DESMATAMENTO_CR,185
2015/2016,11,0.46,AM,DESMATAMENTO_VEG,4
2015/2016,11,71.35,MA,DEGRADACAO,154
2015/2016,11,10.97,MA,DESMATAMENTO_CR,33
2015/2016,11,1.49,MA,DESMATAMENTO_VEG,5
2015/2016,11,0.07,MT,CICATRIZ_DE_QUEIMADA,1
2015/2016,11,37.56,MT,CORTE_SELETIVO,31
2015/2016,11,311.89,MT,DEGRADACAO,394
2015/2016,11,67.12,MT,DESMATAMENTO_CR,233
2015/2016,11,3.4,MT,DESMATAMENTO_VEG,13
2015/2016,11,72.75,PA,CORTE_SELETIVO,21
2015/2016,11,314.29,PA,DEGRADACAO,451
2015/2016,11,75.68,PA,DESMATAMENTO_CR,433
2015/2016,11,1.08,PA,DESMATAMENTO_VEG,5
2015/2016,11,0.35,PA,MINERACAO,5
2015/2016,11,52.15,RO,CORTE_SELETIVO,25
2015/2016,11,102.43,RO,DEGRADACAO,182
2015/2016,11,77.66,RO,DESMATAMENTO_CR,484
2015/2016,11,1.61,RO,DESMATAMENTO_VEG,13
2015/2016,11,5.46,RR,CORTE_SELETIVO,8
2015/2016,11,8.89,RR,DEGRADACAO,25
2015/2016,11,8.66,RR,DESMATAMENTO_CR,66
2015/2016,11,0.08,RR,DESMATAMENTO_VEG,1
2015/2016,12,0.9,AC,DEGRADACAO,7
2015/2016,12,6.12,AC,DESMATAMENTO_CR,59
2015/2016,12,2.01,AC,DESMATAMENTO_VEG,21
2015/2016,12,13.22,AM,DEGRADACAO,44
2015/2016,12,18.83,AM,DESMATAMENTO_CR,83
2015/2016,12,24.1,MA,DEGRADACAO,70
2015/2016,12,1.34,MA,DESMATAMENTO_CR,4
2015/2016,12,12.52,MT,CORTE_SELETIVO,24
2015/2016,12,240.86,MT,DEGRADACAO,409
2015/2016,12,72.99,MT,DESMATAMENTO_CR,219
2015/2016,12,14.68,MT,DESMATAMENTO_VEG,9
2015/2016,12,10.65,PA,CORTE_SELETIVO,11
2015/2016,12,599.79,PA,DEGRADACAO,543
2015/2016,12,133.25,PA,DESMATAMENTO_CR,647
2015/2016,12,2.67,PA,DESMATAMENTO_VEG,9
2015/2016,12,1.97,RO,DEGRADACAO,10
2015/2016,12,13.09,RO,DESMATAMENTO_CR,80
2015/2016,12,0.15,RO,DESMATAMENTO_VEG,1
2015/2016,12,0.39,RR,CORTE_SELETIVO,3
2015/2016,12,0.5,RR,DEGRADACAO,3
2015/2016,12,1.16,RR,DESMATAMENTO_CR,5
2015/2016,1,12.77,AC,DEGRADACAO,17
2015/2016,1,6.79,AC,DESMATAMENTO_CR,53
2015/2016,1,5.03,AC,DESMATAMENTO_VEG,51
2015/2016,1,0.11,AM,CICATRIZ_DE_QUEIMADA,1
2015/2016,1,0.67,AM,CS_GEOMETRICO,1
2015/2016,1,38.44,AM,DEGRADACAO,66
2015/2016,1,22.05,AM,DESMATAMENTO_CR,136
2015/2016,1,1.75,AM,DESMATAMENTO_VEG,18
2015/2016,1,0.22,AP,DEGRADACAO,2
2015/2016,1,14.39,MA,CICATRIZ_DE_QUEIMADA,21
2015/2016,1,38.1,MA,DEGRADACAO,26
2015/2016,1,1.32,MA,DESMATAMENTO_CR,6
2015/2016,1,3.06,MT,DEGRADACAO,14
2015/2016,1,9.53,MT,DESMATAMENTO_CR,40
2015/2016,1,0.18,MT,DESMATAMENTO_VEG,2
2015/2016,1,1527.48,PA,CICATRIZ_DE_QUEIMADA,155
2015/2016,1,352.22,PA,DEGRADACAO,514
2015/2016,1,95.27,PA,DESMATAMENTO_CR,644
2015/2016,1,1.01,RO,CICATRIZ_DE_QUEIMADA,1
2015/2016,1,0.16,RO,CS_GEOMETRICO,2
2015/2016,1,15.08,RO,DEGRADACAO,88
2015/2016,1,71.51,RO,DESMATAMENTO_CR,516
2015/2016,1,3.04,RO,DESMATAMENTO_VEG,22
2015/2016,1,9.12,RR,DEGRADACAO,28
2015/2016,1,10.82,RR,DESMATAMENTO_CR,77
2015/2016,1,0.12,RR,DESMATAMENTO_VEG,1
2015/2016,1,0.27,TO,DEGRADACAO,3
2015/2016,1,1.39,TO,DESMATAMENTO_CR,7
2015/2016,2,0.2,AC,DESMATAMENTO_CR,2
2015/2016,2,0.47,AC,DESMATAMENTO_VEG,5
2015/2016,2,0.08,AM,CS_GEOMETRICO,1
2015/2016,2,4.37,AM,DEGRADACAO,11
2015/2016,2,14.84,AM,DESMATAMENTO_CR,62
2015/2016,2,0.82,AM,DESMATAMENTO_VEG,5
2015/2016,2,18.51,MA,CICATRIZ_DE_QUEIMADA,34
2015/2016,2,4.77,MA,DEGRADACAO,8
2015/2016,2,4.21,MA,DESMATAMENTO_CR,12
2015/2016,2,94.02,MT,CICATRIZ_DE_QUEIMADA,86
2015/2016,2,5.24,MT,CS_GEOMETRICO,7
2015/2016,2,111.56,MT,DEGRADACAO,183
2015/2016,2,46.57,MT,DESMATAMENTO_CR,208
2015/2016,2,18.74,MT,DESMATAMENTO_VEG,16
2015/2016,2,3.27,PA,CICATRIZ_DE_QUEIMADA,2
2015/2016,2,47.13,PA,DEGRADACAO,57
2015/2016,2,7.66,PA,DESMATAMENTO_CR,41
2015/2016,2,5.49,PA,DESMATAMENTO_VEG,7
2015/2016,2,7.2,RO,DEGRADACAO,39
2015/2016,2,11,RO,DESMATAMENTO_CR,68
2015/2016,2,1.63,RO,DESMATAMENTO_VEG,7
2015/2016,2,9.18,TO,CICATRIZ_DE_QUEIMADA,3
2015/2016,2,107.58,TO,DEGRADACAO,33
2015/2016,2,3.35,TO,DESMATAMENTO_CR,16
2015/2016,3,0.12,AC,DEGRADACAO,1
2015/2016,3,0.12,AC,DESMATAMENTO_CR,1
2015/2016,3,31.29,AM,CICATRIZ_DE_QUEIMADA,24
2015/2016,3,2.01,AM,CS_DESORDENADO,1
2015/2016,3,91.07,AM,DEGRADACAO,125
2015/2016,3,26.69,AM,DESMATAMENTO_CR,147
2015/2016,3,0.46,AM,DESMATAMENTO_VEG,5
2015/2016,3,0.38,MA,DESMATAMENTO_CR,1
2015/2016,3,15.45,MT,CICATRIZ_DE_QUEIMADA,14
2015/2016,3,4.99,MT,CS_GEOMETRICO,3
2015/2016,3,119.39,MT,DEGRADACAO,182
2015/2016,3,114.6,MT,DESMATAMENTO_CR,422
2015/2016,3,13.25,MT,DESMATAMENTO_VEG,23
2015/2016,3,0.07,MT,MINERACAO,1
2015/2016,3,18.45,PA,DEGRADACAO,39
2015/2016,3,10.31,PA,DESMATAMENTO_CR,43
2015/2016,3,4.13,PA,DESMATAMENTO_VEG,8
2015/2016,3,1.81,PA,MINERACAO,16
2015/2016,3,0.07,RO,CICATRIZ_DE_QUEIMADA,1
2015/2016,3,60.44,RO,DEGRADACAO,111
2015/2016,3,43.84,RO,DESMATAMENTO_CR,239
2015/2016,3,1.95,RO,DESMATAMENTO_VEG,14
2015/2016,3,226.96,RR,CICATRIZ_DE_QUEIMADA,140
2015/2016,3,899.89,RR,DEGRADACAO,426
2015/2016,3,80.83,RR,DESMATAMENTO_CR,353
2015/2016,3,2.61,TO,DEGRADACAO,7
2015/2016,3,1.61,TO,DESMATAMENTO_CR,9
2015/2016,4,1.21,AC,DESMATAMENTO_CR,6
2015/2016,4,0.25,AC,DESMATAMENTO_VEG,3
2015/2016,4,0.94,AM,DEGRADACAO,6
2015/2016,4,59.54,AM,DESMATAMENTO_CR,131
2015/2016,4,1.57,AM,DESMATAMENTO_VEG,6
2015/2016,4,3.08,MA,CICATRIZ_DE_QUEIMADA,7
2015/2016,4,20.07,MA,DEGRADACAO,26
2015/2016,4,14.51,MA,DESMATAMENTO_CR,35
2015/2016,4,1.13,MT,CICATRIZ_DE_QUEIMADA,3
